Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
5 5 -6.4921255 0.0 -37.0666 6.22708 -10.9783 243.255 -1619.2 241.488 -1601.41 0.0 241.488 -1601.41 23.8896 -37.0666 -1373.099 16.6497 16.6497
5 6 -6.6072836 0.0 -37.9828 6.46687 -10.9128 243.255 -1619.2 241.799 -1601.92 0.0 241.799 -1601.92 25.0908 -37.9828 -1373.0131 17.9346 17.9346
5 7 -6.5820565 0.0 -39.4877 6.32439 -15.2536 243.255 -1619.2 242.069 -1604.16 0.0 242.069 -1604.16 30.1114 -39.4877 -1371.4674 20.9369 20.9369
6 0 -6.66876 0.0 -33.8604 6.30727 -10.8076 243.255 -1619.2 241.192 -1608.5 0.0 241.192 -1608.5 22.6079 -33.8604 -1378.5604 15.7703 15.7703
6 1 -6.6674814 0.0 -33.8463 6.30734 -10.8068 243.255 -1619.2 241.192 -1608.5 0.0 241.192 -1608.5 22.6039 -33.8463 -1378.5504 15.7703 15.7703
6 2 -6.6674814 0.0 -33.8463 6.30734 -10.8068 243.255 -1619.2 241.192 -1608.5 0.0 241.192 -1608.5 22.6039 -33.8463 -1378.5504 15.7703 15.7703
6 3 -6.2274175 0.0 -26.1171 6.29787 -11.0218 243.255 -1619.2 241.246 -1613.57 0.0 241.246 -1613.57 22.7273 -26.1171 -1375.7137 17.8891 17.8891
6 4 -6.503682 0.0 -33.9962 6.41017 -11.0765 243.255 -1619.2 241.902 -1606.8 0.0 241.902 -1606.8 23.5135 -33.9962 -1375.3807 19.7036 19.7036
6 5 -6.3095984 0.0 -30.2005 6.26479 -10.681 243.255 -1619.2 241.297 -1608.39 0.0 241.297 -1608.39 22.4958 -30.2005 -1374.7977 17.8564 17.8564
6 6 -6.2810564 0.0 -29.498 6.26594 -10.6896 243.255 -1619.2 241.377 -1609.14 0.0 241.377 -1609.14 22.5927 -29.498 -1374.6683 18.6312 18.6312
6 7 -6.2810564 0.0 -29.498 6.26594 -10.6896 243.255 -1619.2 241.377 -1609.14 0.0 241.377 -1609.14 22.5927 -29.498 -1374.6683 18.6312 18.6312
7 0 -6.905945 0.0 -41.3215 6.33012 -10.9733 243.255 -1619.2 242.264 -1602.63 0.0 242.264 -1602.63 23.3334 -41.3215 -1378.3541 14.7568 14.7568
7 1 -6.20423 0.0 -31.4757 6.24701 -10.9115 243.255 -1619.2 242.07 -1606.15 0.0 242.07 -1606.15 23.0831 -31.4757 -1372.4727 17.806 17.806
8 0 -6.413776 0.0 -28.4923 6.32472 -10.9203 243.255 -1619.2 243.387 -1616.11 0.0 243.387 -1616.11 23.0378 -28.4923 -1378.1775 23.509 23.509
8 1 -6.4071126 0.0 -28.51 6.35153 -10.9609 243.255 -1619.2 243.411 -1616.01 0.0 243.411 -1616.01 23.0461 -28.51 -1378.0629 23.7739 23.7739
8 2 -6.416655 0.0 -28.796 6.36717 -11.0004 243.255 -1619.2 243.418 -1615.75 0.0 243.418 -1615.75 23.1748 -28.796 -1377.9532 23.9674 23.9674
8 3 -5.9542007 0.0 -23.2617 6.26248 -10.5737 243.255 -1619.2 243.28 -1616.27 0.0 243.28 -1616.27 22.9238 -23.2617 -1373.3279 24.9655 24.9655
8 4 -5.921483 0.0 -22.828 6.259 -10.5872 243.255 -1619.2 243.277 -1616.42 0.0 243.277 -1616.42 22.888 -22.828 -1373.083 25.1017 25.1017
8 5 -5.6634045 0.0 -19.8835 6.296 -10.711 243.255 -1619.2 243.535 -1617.22 0.0 243.535 -1617.22 22.3105 -19.8835 -1371.2579 27.9888 27.9888
9 0 -6.2633786 0.0 -25.6512 6.27061 -10.6057 243.255 -1619.2 242.835 -1616.96 0.0 242.835 -1616.96 21.972 -25.6512 -1377.8042 21.3832 21.3832
9 1 -6.25853 0.0 -25.5869 6.26994 -10.606 243.255 -1619.2 242.847 -1617.0 0.0 242.847 -1617.0 22.0121 -25.5869 -1377.7278 21.4609 21.4609
9 2 -6.0798616 0.0 -23.3221 6.26498 -10.8566 243.255 -1619.2 242.899 -1617.92 0.0 242.899 -1617.92 22.3898 -23.3221 -1375.9532 22.2461 22.2461
9 3 -5.980594 0.0 -19.6958 6.29007 -10.5138 243.255 -1619.2 242.859 -1621.46 0.0 242.859 -1621.46 22.4103 -19.6958 -1375.8865 23.6735 23.6735
9 4 -6.064629 0.0 -23.1531 6.28962 -10.8716 243.255 -1619.2 242.893 -1617.9 0.0 242.893 -1617.9 22.279 -23.1531 -1375.8811 22.1879 22.1879
9 5 -5.974354 0.0 -20.4481 6.26394 -10.9077 243.255 -1619.2 242.827 -1620.58 0.0 242.827 -1620.58 22.3664 -20.4481 -1375.8346 22.3315 22.3315
9 6 -5.96463 0.0 -19.411 6.30141 -10.5214 243.255 -1619.2 242.827 -1621.58 0.0 242.827 -1621.58 22.5355 -19.411 -1375.6284 23.8772 23.8772
9 7 -6.0185285 0.0 -22.5942 6.296 -10.9219 243.255 -1619.2 242.957 -1618.15 0.0 242.957 -1618.15 22.3845 -22.5942 -1375.4027 22.7477 22.7477
9 8 -5.976776 0.0 -19.332 6.41264 -10.7736 243.255 -1619.2 242.613 -1621.65 0.0 242.613 -1621.65 23.8677 -19.332 -1374.5013 23.9213 23.9213
9 9 -5.820596 0.0 -19.3543 6.26927 -10.789 243.255 -1619.2 242.852 -1619.67 0.0 242.852 -1619.67 23.0826 -19.3543 -1373.0897 24.7027 24.7027
10 0 -6.51824 0.0 -29.6242 6.34204 -10.8524 243.255 -1619.2 242.292 -1614.28 0.0 242.292 -1614.28 23.8119 -29.6242 -1377.8003 19.2971 19.2971
10 1 -6.263668 0.0 -27.1478 6.31236 -10.772 243.255 -1619.2 242.723 -1614.58 0.0 242.723 -1614.58 23.288 -27.1478 -1375.7167 21.0033 21.0033
10 2 -6.26412 0.0 -27.1671 6.30005 -10.7604 243.255 -1619.2 242.681 -1614.5 0.0 242.681 -1614.5 23.3505 -27.1671 -1375.6356 21.1161 21.1161
11 0 -6.5732684 0.0 -34.3681 6.30622 -10.6865 243.255 -1619.2 242.45 -1607.98 0.0 242.45 -1607.98 22.102 -34.3681 -1377.7961 18.0764 18.0764
11 1 -6.578443 0.0 -34.5136 6.30833 -10.688 243.255 -1619.2 242.432 -1607.81 0.0 242.432 -1607.81 22.1135 -34.5136 -1377.7782 17.9932 17.9932
11 2 -6.5719934 0.0 -34.5495 6.31301 -10.6994 243.255 -1619.2 242.391 -1607.59 0.0 242.391 -1607.59 22.1413 -34.5495 -1377.6072 17.939 17.939
11 3 -6.5290546 0.0 -33.7174 6.31557 -10.7224 243.255 -1619.2 242.421 -1608.24 0.0 242.421 -1608.24 22.4015 -33.7174 -1377.1349 18.7324 18.7324
11 4 -6.105301 0.0 -24.2241 6.26049 -11.2967 243.255 -1619.2 242.583 -1616.9 0.0 242.583 -1616.9 22.6992 -24.2241 -1375.8419 21.9202 21.9202
