,sw2800.pdb,sw1100.pdb,sw0900.pdb,sw2600.pdb,sw2000.pdb,sw3100.pdb,sw0200.pdb,sw2200.pdb,sw1200.pdb,sw3400.pdb,sw0500.pdb,sw3500.pdb,sw2700.pdb,sw0700.pdb,sw2900.pdb,sw2500.pdb,sw0400.pdb,sw0100.pdb,sw0600.pdb,sw0300.pdb,sw1500.pdb,sw2300.pdb,sw2400.pdb,sw3200.pdb,sw1900.pdb,sw1300.pdb,sw3300.pdb,sw1700.pdb,sw3000.pdb,sw1000.pdb,sw1400.pdb,sw1600.pdb,sw1800.pdb,sw3600.pdb,sw2100.pdb,sw0000.pdb,sw0800.pdb
sw0500.pdb,2.941986560821533,5.976329326629639,31.313262939453125,5.7926836013793945,7.283697128295898,3.930677652359009,3.8375816345214844,32.34451675415039,4.761106491088867,7.720405578613281,0.0,7.533136367797852,7.641265392303467,3.028691530227661,7.764266014099121,24.04488754272461,7.051852226257324,7.905495643615723,31.81224250793457,4.255936622619629,8.005399703979492,7.41846227645874,7.613912582397461,4.499286651611328,7.801727771759033,7.9203596115112305,7.868082046508789,7.938230991363525,3.072427749633789,6.871573448181152,13.744264602661133,5.819304943084717,31.62688636779785,23.971080780029297,7.907593250274658,7.507434844970703,6.899203777313232
sw3500.pdb,7.313904285430908,6.925167560577393,32.319252014160156,7.323678493499756,2.224679470062256,7.305161476135254,8.027759552001953,32.90913391113281,7.281808853149414,4.563050746917725,7.533136367797852,0.0,4.331398010253906,7.671232223510742,2.7929868698120117,25.655197143554688,4.571450233459473,4.193490505218506,31.52363395690918,7.3452534675598145,3.1852095127105713,5.85024356842041,3.0027430057525635,7.372543811798096,3.0479836463928223,3.6512222290039062,3.6993072032928467,2.6043341159820557,7.5251288414001465,5.68263053894043,14.192668914794922,6.793112277984619,32.73918533325195,25.612520217895508,5.084338665008545,4.700486183166504,5.142802715301514
sw2700.pdb,7.495558738708496,7.585970401763916,34.62032699584961,7.5897979736328125,4.5794172286987305,7.306645393371582,8.073132514953613,35.57713317871094,7.142941951751709,3.7147605419158936,7.641265392303467,4.331398010253906,0.0,7.601664066314697,6.190262794494629,26.798843383789062,3.6139845848083496,4.564262866973877,34.29985427856445,7.430591583251953,4.66380500793457,6.554436206817627,4.516469478607178,7.824914455413818,5.136310577392578,3.14629864692688,2.8548624515533447,5.299079418182373,7.703418731689453,3.7886855602264404,16.414793014526367,7.109374523162842,34.92300796508789,26.685256958007812,6.900783061981201,4.812787055969238,2.728332757949829
sw0700.pdb,2.6935317516326904,6.255734443664551,30.594404220581055,5.363553047180176,7.944429874420166,3.5148215293884277,3.9972033500671387,32.199310302734375,5.519223690032959,7.482324600219727,3.028691530227661,7.671232223510742,7.601664066314697,0.0,7.926743507385254,23.727630615234375,7.238174915313721,7.341099739074707,31.096529006958008,3.6298413276672363,7.486264228820801,8.025839805603027,7.539352893829346,4.522676944732666,8.153976440429688,7.5332841873168945,7.781461238861084,7.623134613037109,3.1635143756866455,7.274284362792969,13.946012496948242,5.781591892242432,30.94192123413086,23.79181480407715,7.461938858032227,7.242523193359375,6.919393062591553
sw2900.pdb,7.3879828453063965,6.322004795074463,32.642574310302734,6.619516372680664,3.0174145698547363,7.639156818389893,8.120241165161133,32.69878387451172,7.544023036956787,6.079440116882324,7.764266014099121,2.7929868698120117,6.190262794494629,7.926743507385254,0.0,26.46967315673828,6.710208415985107,6.186972141265869,31.65346336364746,7.375124454498291,4.627127170562744,4.854366779327393,2.925157070159912,7.301692008972168,4.263792514801025,5.770796775817871,4.934598922729492,4.148797988891602,7.46287727355957,7.300265312194824,13.209364891052246,6.236954212188721,33.05863952636719,26.499662399291992,6.4637227058410645,6.811244487762451,6.908114910125732
sw2500.pdb,25.032711029052734,26.889785766601562,19.280363082885742,27.451805114746094,26.701637268066406,23.482370376586914,25.005903244018555,18.252592086791992,26.4692325592041,26.76582908630371,24.04488754272461,25.655197143554688,26.798843383789062,23.727630615234375,26.46967315673828,0.0,25.449953079223633,25.400562286376953,19.865371704101562,24.713533401489258,25.062158584594727,28.401023864746094,26.68219757080078,26.404327392578125,26.859724044799805,25.227848052978516,26.948680877685547,24.572608947753906,24.968276977539062,26.778366088867188,27.503206253051758,26.876541137695312,18.054338455200195,2.262315273284912,24.282920837402344,25.13479232788086,26.90116310119629
sw0400.pdb,7.257246494293213,7.508937835693359,32.85215759277344,8.164268493652344,4.879731178283691,7.438497543334961,7.256921768188477,34.2089958190918,6.696416854858398,3.5772838592529297,7.051852226257324,4.571450233459473,3.6139845848083496,7.238174915313721,6.710208415985107,25.449953079223633,0.0,3.6103010177612305,32.65912628173828,7.680443286895752,4.33597469329834,7.630014896392822,5.4214348793029785,7.33116340637207,4.179893970489502,3.307108163833618,4.120816707611084,4.866326332092285,7.652171611785889,2.533322334289551,15.437215805053711,7.9857497215271,33.11357879638672,25.22541618347168,4.590351581573486,2.3119747638702393,3.4128823280334473
sw0100.pdb,7.288358211517334,7.870446681976318,31.726871490478516,7.748803615570068,5.25530481338501,7.195304870605469,7.689082622528076,33.52680969238281,6.857466697692871,2.887913942337036,7.905495643615723,4.193490505218506,4.564262866973877,7.341099739074707,6.186972141265869,25.400562286376953,3.6103010177612305,0.0,31.34820556640625,7.562829494476318,3.4134600162506104,7.704563617706299,5.585812091827393,7.216373443603516,4.069692611694336,2.581308126449585,4.412477970123291,3.3180108070373535,7.444360256195068,4.654051303863525,14.996325492858887,7.9293904304504395,32.189571380615234,25.257089614868164,3.616223096847534,3.1467065811157227,4.1422529220581055
sw0600.pdb,32.061744689941406,33.73451614379883,7.457435607910156,33.965267181396484,32.42743682861328,30.779006958007812,32.49374008178711,11.99475383758545,33.237091064453125,33.488616943359375,31.81224250793457,31.52363395690918,34.29985427856445,31.096529006958008,31.65346336364746,19.865371704101562,32.65912628173828,31.34820556640625,0.0,32.12562561035156,30.755950927734375,34.73755645751953,32.44599533081055,32.93305206298828,31.88882064819336,32.04120635986328,33.471038818359375,30.283639907836914,31.74711799621582,34.22640609741211,28.822998046875,34.08427810668945,7.7821455001831055,20.846572875976562,29.77961540222168,31.5458927154541,34.2154426574707
sw0300.pdb,4.7824907302856445,4.41215705871582,32.190406799316406,3.9338462352752686,7.368459224700928,3.201655149459839,3.211920976638794,33.46661376953125,7.061298847198486,7.764642715454102,4.255936622619629,7.3452534675598145,7.430591583251953,3.6298413276672363,7.375124454498291,24.713533401489258,7.680443286895752,7.562829494476318,32.12562561035156,0.0,7.405894756317139,6.059660911560059,7.261037349700928,5.848330497741699,8.182294845581055,7.331355571746826,7.519327640533447,7.337562561035156,4.5638861656188965,7.929906845092773,16.08675193786621,3.4261045455932617,32.559913635253906,24.86529541015625,7.92355489730835,7.859916687011719,7.376730918884277
