Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
8 3 -6.1933866 0.0 -24.0163 6.2486 -10.8707 243.255 -1619.2 242.814 -1618.61 0.0 242.814 -1618.61 22.4321 -24.0163 -1377.3802 21.4141 21.4141
8 4 -6.1933866 0.0 -24.0163 6.2486 -10.8707 243.255 -1619.2 242.814 -1618.61 0.0 242.814 -1618.61 22.4321 -24.0163 -1377.3802 21.4141 21.4141
8 5 -6.1628823 0.0 -23.8188 6.24552 -10.8478 243.255 -1619.2 242.886 -1618.51 0.0 242.886 -1618.51 22.3571 -23.8188 -1377.0857 21.7552 21.7552
8 6 -6.1628823 0.0 -23.8188 6.24552 -10.8478 243.255 -1619.2 242.886 -1618.51 0.0 242.886 -1618.51 22.3571 -23.8188 -1377.0857 21.7552 21.7552
8 7 -6.1628823 0.0 -23.8188 6.24552 -10.8478 243.255 -1619.2 242.886 -1618.51 0.0 242.886 -1618.51 22.3571 -23.8188 -1377.0857 21.7552 21.7552
9 0 -6.244471 0.0 -25.9786 6.26895 -10.5581 243.255 -1619.2 242.848 -1616.12 0.0 242.848 -1616.12 21.8706 -25.9786 -1377.38 21.3267 21.3267
9 1 -6.268597 0.0 -27.0033 6.28424 -10.8952 243.255 -1619.2 242.865 -1615.27 0.0 242.865 -1615.27 22.194 -27.0033 -1377.2144 21.6432 21.6432
9 2 -6.2427073 0.0 -26.3241 6.31215 -10.9245 243.255 -1619.2 242.876 -1615.9 0.0 242.876 -1615.9 22.2796 -26.3241 -1377.0686 22.1356 22.1356
9 3 -6.2121043 0.0 -25.5453 6.25542 -10.5506 243.255 -1619.2 242.884 -1616.33 0.0 242.884 -1616.33 22.0697 -25.5453 -1376.9215 21.9682 21.9682
9 4 -5.764853 0.0 -20.361 6.27359 -10.7897 243.255 -1619.2 243.145 -1617.65 0.0 243.145 -1617.65 22.6061 -20.361 -1372.2599 26.9288 26.9288
9 5 -5.707402 0.0 -19.6487 6.27875 -10.8001 243.255 -1619.2 243.226 -1617.94 0.0 243.226 -1617.94 22.5252 -19.6487 -1371.8375 27.1946 27.1946
10 0 -6.1771984 0.0 -24.5219 6.28517 -10.5694 243.255 -1619.2 243.127 -1617.69 0.0 243.127 -1617.69 21.9313 -24.5219 -1377.1536 22.2146 22.2146
10 1 -6.184296 0.0 -24.3878 6.2659 -10.568 243.255 -1619.2 242.809 -1617.55 0.0 242.809 -1617.55 22.0229 -24.3878 -1377.106 21.996 21.996
10 2 -6.187997 0.0 -24.4264 6.25864 -10.5576 243.255 -1619.2 242.795 -1617.53 0.0 242.795 -1617.53 22.0576 -24.4264 -1377.1038 22.0115 22.0115
10 3 -6.1864944 0.0 -24.4208 6.2585 -10.554 243.255 -1619.2 242.801 -1617.52 0.0 242.801 -1617.52 22.0617 -24.4208 -1377.0781 22.0277 22.0277
10 4 -6.084779 0.0 -24.0225 6.28255 -10.6332 243.255 -1619.2 242.972 -1616.78 0.0 242.972 -1616.78 22.138 -24.0225 -1375.6925 22.4661 22.4661
10 5 -6.0895834 0.0 -24.1117 6.28494 -10.6393 243.255 -1619.2 242.97 -1616.72 0.0 242.97 -1616.72 22.1821 -24.1117 -1375.6796 22.4667 22.4667
10 6 -6.083495 0.0 -24.0739 6.28074 -10.6293 243.255 -1619.2 242.973 -1616.68 0.0 242.973 -1616.68 22.122 -24.0739 -1375.6589 22.4689 22.4689
10 7 -6.2204175 0.0 -24.8123 6.21914 -10.2705 243.255 -1619.2 242.965 -1617.5 0.0 242.965 -1617.5 24.7484 -24.8123 -1374.5989 24.7203 24.7203
11 0 -6.4668527 0.0 -30.525 6.40392 -11.0171 243.255 -1619.2 242.818 -1612.93 0.0 242.818 -1612.93 23.5097 -30.525 -1377.1273 24.0954 24.0954
11 1 -6.462742 0.0 -30.4697 6.40077 -11.0177 243.255 -1619.2 242.809 -1612.94 0.0 242.809 -1612.94 23.486 -30.4697 -1377.1146 24.0914 24.0914
11 2 -6.462742 0.0 -30.4697 6.40077 -11.0177 243.255 -1619.2 242.809 -1612.94 0.0 242.809 -1612.94 23.486 -30.4697 -1377.1146 24.0914 24.0914
11 3 -6.472167 0.0 -30.4998 6.39863 -11.0219 243.255 -1619.2 242.767 -1612.99 0.0 242.767 -1612.99 23.6216 -30.4998 -1377.1012 24.1107 24.1107
11 4 -6.4738555 0.0 -30.4993 6.39802 -11.0227 243.255 -1619.2 242.754 -1613.0 0.0 242.754 -1613.0 23.6704 -30.4993 -1377.0748 24.1263 24.1263
11 5 -6.4738555 0.0 -30.4993 6.39802 -11.0227 243.255 -1619.2 242.754 -1613.0 0.0 242.754 -1613.0 23.6704 -30.4993 -1377.0748 24.1263 24.1263
11 6 -6.416151 0.0 -29.9281 6.37802 -11.0069 243.255 -1619.2 242.783 -1613.0 0.0 242.783 -1613.0 23.2252 -29.9281 -1376.9199 24.1905 24.1905
11 7 -6.3542166 0.0 -29.1088 6.36896 -10.9917 243.255 -1619.2 242.755 -1613.21 0.0 242.755 -1613.21 22.9234 -29.1088 -1376.6404 24.5713 24.5713
12 0 -6.4092565 0.0 -30.2307 6.26065 -10.8496 243.255 -1619.2 242.166 -1611.49 0.0 242.166 -1611.49 22.6405 -30.2307 -1376.9142 18.0597 18.0597
12 1 -6.40415 0.0 -30.2314 6.26149 -10.8501 243.255 -1619.2 242.163 -1611.4 0.0 242.163 -1611.4 22.6361 -30.2314 -1376.8324 18.0534 18.0534
12 2 -6.3805394 0.0 -29.8532 6.25766 -10.851 243.255 -1619.2 242.224 -1611.7 0.0 242.224 -1611.7 22.6847 -29.8532 -1376.6444 18.3307 18.3307
12 3 -6.396807 0.0 -30.5799 6.30086 -10.8821 243.255 -1619.2 242.459 -1611.17 0.0 242.459 -1611.17 22.863 -30.5799 -1376.428 19.6605 19.6605
12 4 -6.4767256 0.0 -31.9833 6.2539 -10.9692 243.255 -1619.2 241.711 -1609.31 0.0 241.711 -1609.31 23.1719 -31.9833 -1376.4104 17.6115 17.6115
12 5 -6.4725647 0.0 -32.6808 6.23682 -10.7618 243.255 -1619.2 241.625 -1607.85 0.0 241.625 -1607.85 23.5958 -32.6808 -1375.3099 19.6629 19.6629
12 6 -6.0698986 0.0 -25.6621 6.30477 -10.9171 243.255 -1619.2 242.796 -1613.98 0.0 242.796 -1613.98 22.3055 -25.6621 -1374.5405 21.2677 21.2677
12 7 -5.9949117 0.0 -24.8608 6.27882 -10.9006 243.255 -1619.2 242.798 -1614.02 0.0 242.798 -1614.02 22.2569 -24.8608 -1373.8259 21.6747 21.6747
12 8 -6.346038 0.0 -34.2569 6.25435 -10.7909 243.255 -1619.2 241.652 -1603.39 0.0 241.652 -1603.39 23.0427 -34.2569 -1372.9523 18.4267 18.4267
12 9 -5.5240827 0.0 -16.9015 6.32127 -10.6086 243.255 -1619.2 243.023 -1618.62 0.0 243.023 -1618.62 22.2351 -16.9015 -1370.2634 24.3124 24.3124
12 10 -5.52385 0.0 -16.9608 6.31469 -10.6006 243.255 -1619.2 242.954 -1618.42 0.0 242.954 -1618.42 22.2906 -16.9608 -1370.1362 24.2479 24.2479
12 11 -5.53239 0.0 -20.1483 6.27559 -10.8286 243.255 -1619.2 241.873 -1612.25 0.0 241.873 -1612.25 22.2766 -20.1483 -1368.2487 22.0927 22.0927
13 0 -6.5156546 0.0 -33.9125 6.30835 -10.9775 243.255 -1619.2 241.958 -1607.27 0.0 241.958 -1607.27 22.6071 -33.9125 -1376.6174 16.3492 16.3492
13 1 -6.488782 0.0 -33.6996 6.29822 -10.9654 243.255 -1619.2 241.988 -1607.21 0.0 241.988 -1607.21 22.5695 -33.6996 -1376.352 16.2635 16.2635
13 2 -6.4780917 0.0 -33.6333 6.29846 -10.9634 243.255 -1619.2 241.991 -1607.14 0.0 241.991 -1607.14 22.5712 -33.6333 -1376.2112 16.2625 16.2625
13 3 -6.75084 0.0 -42.5708 6.36336 -15.912 243.255 -1619.2 242.114 -1602.82 0.0 242.114 -1602.82 31.2099 -42.5708 -1372.0669 19.7006 19.7006
13 4 -6.200014 0.0 -33.4076 6.28012 -15.3259 243.255 -1619.2 242.123 -1607.54 0.0 242.123 -1607.54 30.023 -33.4076 -1368.8016 21.8093 21.8093
13 5 -6.122927 0.0 -32.9751 6.28614 -15.3472 243.255 -1619.2 242.103 -1606.93 0.0 242.103 -1606.93 29.9614 -32.9751 -1367.8407 21.6555 21.6555
14 0 -6.4641776 0.0 -33.1757 6.31988 -10.736 243.255 -1619.2 242.056 -1607.46 0.0 242.056 -1607.46 22.4629 -33.1757 -1376.1167 15.4521 15.4521
14 1 -6.7890067 0.0 -43.2491 6.24578 -10.8975 243.255 -1619.2 241.375 -1596.42 0.0 241.375 -1596.42 22.5147 -43.2491 -1375.7794 12.5823 12.5823
14 2 -6.7777333 0.0 -43.1696 6.24596 -10.8983 243.255 -1619.2 241.369 -1596.35 0.0 241.369 -1596.35 22.5056 -43.1696 -1375.6449 12.5859 12.5859
14 3 -6.7778254 0.0 -43.2317 6.23447 -10.8928 243.255 -1619.2 241.364 -1596.26 0.0 241.364 -1596.26 22.6482 -43.2317 -1375.4795 12.6094 12.6094
14 4 -6.4492264 0.0 -31.858 6.42737 -11.0168 243.255 -1619.2 241.702 -1608.82 0.0 241.702 -1608.82 23.9238 -31.858 -1375.0521 19.1726 19.1726
14 5 -6.425193 0.0 -33.7448 6.27292 -10.8941 243.255 -1619.2 241.73 -1605.67 0.0 241.73 -1605.67 22.8829 -33.7448 -1374.802 18.3157 18.3157
14 6 -6.341999 0.0 -31.7875 6.28175 -10.6274 243.255 -1619.2 241.888 -1607.3 0.0 241.888 -1607.3 22.4961 -31.7875 -1374.7034 17.405 17.405
14 7 -6.27589 0.0 -30.7325 6.28193 -10.63 243.255 -1619.2 242.022 -1608.06 0.0 242.022 -1608.06 22.4504 -30.7325 -1374.3202 18.0511 18.0511
14 8 -6.2203097 0.0 -29.4012 6.33878 -10.9049 243.255 -1619.2 241.94 -1609.27 0.0 241.94 -1609.27 23.1055 -29.4012 -1373.6257 17.928 17.928
14 9 -6.169408 0.0 -28.675 6.33456 -10.912 243.255 -1619.2 241.963 -1609.61 0.0 241.963 -1609.61 22.9184 -28.675 -1373.4036 17.9552 17.9552
14 10 -6.3240447 0.0 -31.6113 6.43031 -11.0588 243.255 -1619.2 241.991 -1607.64 0.0 241.991 -1607.64 23.8813 -31.6113 -1373.379 16.6696 16.6696
14 11 -6.385734 0.0 -35.4933 6.22106 -10.833 243.255 -1619.2 241.509 -1602.0 0.0 241.509 -1602.0 23.4663 -35.4933 -1372.518 17.9947 17.9947
14 12 -5.889142 0.0 -24.1246 6.26953 -10.5846 243.255 -1619.2 242.01 -1611.91 0.0 242.01 -1611.91 22.164 -24.1246 -1371.8606 19.0945 19.0945
14 13 -6.2283373 0.0 -33.9445 6.2709 -11.2589 243.255 -1619.2 241.89 -1602.76 0.0 241.89 -1602.76 23.4326 -33.9445 -1371.3818 18.1117 18.1117
14 14 -6.3044972 0.0 -36.823 6.24336 -10.8705 243.255 -1619.2 241.263 -1598.24 0.0 241.263 -1598.24 23.907 -36.823 -1369.8931 17.8934 17.8934
15 0 -7.046084 0.0 -49.7488 6.24953 -11.6969 243.255 -1619.2 241.325 -1591.29 0.0 241.325 -1591.29 23.6779 -49.7488 -1376.036 10.8683 10.8683
15 1 -7.016189 0.0 -49.0446 6.24732 -11.684 243.255 -1619.2 241.357 -1591.93 0.0 241.357 -1591.93 23.683 -49.0446 -1375.9346 11.1768 11.1768
15 2 -7.017208 0.0 -47.6353 6.35951 -11.4301 243.255 -1619.2 241.436 -1593.82 0.0 241.436 -1593.82 24.9639 -47.6353 -1375.0553 14.0306 14.0306
