TS,BOND,ANGLE,DIHED,IMPRP,ELECT,VDW,BOUNDARY,MISC,KINETIC,TOTAL,TEMP,POTENTIAL,TOTAL3,TEMPAVG,PRESSURE,GPRESSURE,VOLUME,PRESSAVG,GPRESSAVG
185000,12480.8256,67852.5333,45182.8510,602.8630,-1195338.3166,68529.8631,0.0000,0.0000,263365.5008,-737323.8798,302.4719,-1000689.3806,-735972.6633,302.5150,2.2289,3.5462,4054416.1054,1.3023,1.2995
190000,12483.7560,68157.9403,45034.0275,622.4725,-1195707.1597,68841.4268,0.0000,0.0000,263316.1643,-737251.3722,302.4153,-1000567.5365,-735881.4501,302.6743,43.6717,44.2516,4055552.0818,1.1448,1.1433
195000,12518.8652,68309.9481,45082.3201,599.3964,-1196578.0555,68581.0798,0.0000,0.0000,263193.4122,-738293.0338,302.2743,-1001486.4461,-736913.7135,302.5011,8.6257,9.7802,4055107.1916,1.9668,1.9542
200000,12522.6557,67851.3794,45184.0251,579.6426,-1197137.6406,69237.3467,0.0000,0.0000,263618.3256,-738144.2656,302.7623,-1001762.5912,-736781.3772,302.3777,12.5424,12.8568,4061467.4675,1.0723,1.0556
205000,12576.4523,67877.0135,45109.2970,606.3934,-1196298.2974,68461.4243,0.0000,0.0000,262965.6153,-738702.1017,302.0127,-1001667.7169,-737331.0415,302.3647,-99.5324,-99.3958,4057471.9807,1.0036,1.0114
210000,12445.8668,68456.9927,45222.7917,597.3244,-1197597.1773,69340.7122,0.0000,0.0000,262920.6498,-738612.8396,301.9610,-1001533.4893,-737259.0941,302.2866,-11.5343,-8.6559,4053734.2054,1.0411,1.0487
215000,12435.2651,68033.3189,45152.2299,592.8037,-1195872.0698,68570.3423,0.0000,0.0000,263169.9796,-737918.1303,302.2474,-1001088.1099,-736533.7293,302.0806,-4.6872,-5.0224,4058152.1509,1.3863,1.3852
220000,12416.9507,67833.9177,45161.0777,606.6674,-1196737.6257,68581.8316,0.0000,0.0000,262770.1333,-739367.0474,301.7881,-1002137.1806,-737973.0341,301.8902,-6.6127,-9.3279,4055962.4769,1.4428,1.4317
225000,12384.1647,68249.6193,45071.9007,588.6472,-1197629.6993,69406.7026,0.0000,0.0000,263817.3729,-738111.2920,302.9909,-1001928.6649,-736725.8530,301.8951,82.8657,81.2128,4059144.3184,1.0910,1.0820
230000,12579.1411,67968.7746,44931.5787,581.0266,-1196796.0728,69144.0172,0.0000,0.0000,262983.3685,-738608.1662,302.0330,-1001591.5346,-737238.8955,302.2693,-41.2391,-38.5256,4060512.5618,1.8807,1.8851
235000,12520.7524,68248.0660,45071.0218,610.5132,-1196562.3411,69446.3821,0.0000,0.0000,263689.4698,-736976.1358,302.8440,-1000665.6056,-735644.2041,302.1784,46.7049,48.1575,4057965.2382,0.9516,0.9518
240000,12356.8741,67664.8966,45178.1517,624.3049,-1196118.1550,68624.4094,0.0000,0.0000,263168.4807,-738501.0378,302.2456,-1001669.5184,-737111.8015,302.2769,-52.3744,-52.9892,4061779.6193,0.6014,0.5943
245000,12483.9929,68230.3918,45212.2726,615.0735,-1195669.9896,69054.0327,0.0000,0.0000,263589.4486,-736484.7774,302.7291,-1000074.2261,-735109.4992,302.4066,47.0459,46.6187,4058753.1437,0.8094,0.7962
250000,12330.5623,68057.9393,45036.0502,601.5011,-1195254.4108,67665.2891,0.0000,0.0000,263425.6827,-738137.3862,302.5410,-1001563.0688,-736740.8299,302.7596,-177.2929,-177.6152,4060231.1265,0.4566,0.4508
255000,12483.1704,68250.2297,45021.9089,617.4456,-1197302.3488,69335.7130,0.0000,0.0000,263458.9775,-738134.9037,302.5793,-1001593.8812,-736778.9832,302.2643,10.3529,9.2403,4055938.2553,1.0286,1.0234
260000,12565.8779,67952.4547,44863.4735,637.0395,-1194515.8476,67774.9321,0.0000,0.0000,263327.2496,-737394.8203,302.4280,-1000722.0698,-736027.7965,302.3197,-90.8728,-90.4323,4060214.7095,0.4867,0.4943
265000,12474.9722,68083.2189,45040.3391,574.4841,-1196071.3654,68512.9652,0.0000,0.0000,263554.2360,-737831.1500,302.6887,-1001385.3859,-736449.4631,302.5387,-0.6348,-0.6684,4057279.1674,1.2711,1.2752
270000,12465.8078,67994.7082,44947.5996,605.4061,-1197014.6605,69327.8279,0.0000,0.0000,263672.6790,-738000.6318,302.8247,-1001673.3108,-736626.9430,302.3075,22.8461,23.4732,4060441.7939,0.2414,0.2317
275000,12427.2968,68248.4493,45056.1890,634.0684,-1196158.7406,69078.6743,0.0000,0.0000,263130.3140,-737583.7489,302.2018,-1000714.0629,-736206.4696,302.5535,35.9468,34.3378,4057021.7848,1.2371,1.2478
280000,12433.2102,68268.4889,45089.3743,632.2040,-1195809.1875,68725.8740,0.0000,0.0000,262890.6248,-737769.4113,301.9265,-1000660.0360,-736423.7491,302.3221,-2.6296,-2.0628,4061509.8287,1.5962,1.5882
285000,12412.4716,68010.2761,45039.7872,608.3586,-1196104.3558,68648.0589,0.0000,0.0000,263225.5725,-738159.8308,302.3112,-1001385.4033,-736796.4576,302.1335,10.0814,9.5122,4058431.2115,0.5551,0.5659
290000,12431.1091,68143.7509,45106.3999,624.0851,-1195323.5323,68261.7387,0.0000,0.0000,261976.6891,-738779.7595,300.8769,-1000756.4486,-737433.6581,302.1054,-126.5047,-124.9297,4063181.5066,1.1571,1.1614
295000,12632.4239,68159.5139,45041.8122,591.6132,-1194934.0822,67238.2103,0.0000,0.0000,263573.5827,-737696.9261,302.7109,-1001270.5088,-736337.4755,302.5212,-164.7677,-163.0935,4054872.0750,0.9363,0.9243
300000,12539.9459,68230.3623,44807.2229,629.5849,-1195602.5284,68085.7295,0.0000,0.0000,262495.9476,-738813.7353,301.4732,-1001309.6829,-737420.3944,301.8144,-199.8883,-202.1095,4064344.6224,0.8388,0.8479
305000,12530.0954,68189.4379,44935.5417,618.0485,-1196877.7289,69570.8391,0.0000,0.0000,263180.2076,-737853.5587,302.2591,-1001033.7663,-736511.7563,302.1184,22.7313,20.7167,4059361.2719,0.9287,0.9244
310000,12381.5084,68374.5917,44948.0120,612.7866,-1196505.3201,69009.7804,0.0000,0.0000,263769.7431,-737408.8978,302.9362,-1001178.6409,-736034.9103,302.5636,37.2455,36.3759,4059759.4798,0.8970,0.8902
315000,12614.6900,68411.2903,44938.2819,590.5417,-1196769.1040,68837.9547,0.0000,0.0000,263523.4195,-737852.9258,302.6533,-1001376.3453,-736489.7271,302.2083,60.2594,59.5104,4051376.5446,1.2437,1.2358
320000,12412.6887,68009.6315,44927.5874,626.1013,-1197976.7853,69789.6635,0.0000,0.0000,262802.5940,-739408.5189,301.8254,-1002211.1129,-738035.6915,302.2858,64.9505,68.9233,4055942.0155,1.2758,1.2718
325000,12391.2156,68031.3783,45136.4447,615.8709,-1197910.5948,69808.6853,0.0000,0.0000,263220.9066,-738706.0935,302.3059,-1001927.0000,-737328.3022,302.1366,103.2265,102.3214,4049403.7053,1.2084,1.2149
330000,12488.8275,67883.5704,45058.8861,617.3577,-1195906.4603,68860.2123,0.0000,0.0000,262836.2923,-738161.3141,301.8641,-1000997.6063,-736792.3741,302.3349,65.5458,65.8856,4056843.6753,1.2720,1.2700
335000,12477.2383,68108.4475,45087.9293,606.6298,-1195703.0729,68000.0227,0.0000,0.0000,262677.5168,-738745.2885,301.6818,-1001422.8053,-737394.1613,301.9925,-61.6686,-62.1993,4053268.3159,0.8775,0.8564
340000,12499.6871,67980.2817,45085.5844,593.2064,-1195786.4542,68376.4681,0.0000,0.0000,263538.7110,-737712.5154,302.6708,-1001251.2264,-736332.0702,302.5131,91.6498,94.1627,4049234.6004,1.2700,1.2539
345000,12409.2442,68168.3843,45133.3697,611.2802,-1195964.6851,68335.9666,0.0000,0.0000,263414.0817,-737892.3583,302.5277,-1001306.4400,-736545.4639,302.3674,-2.4261,-2.4030,4055025.9893,1.5067,1.4946
350000,12406.8336,68033.6556,45185.3178,624.8164,-1194605.9272,68001.3122,0.0000,0.0000,262927.5728,-737426.4187,301.9690,-1000353.9915,-736047.4257,302.3010,-11.3869,-11.2949,4063749.1174,0.3260,0.3388
355000,12323.1107,68071.6066,45002.7683,609.9680,-1195890.3127,68398.8111,0.0000,0.0000,262911.8120,-738572.2360,301.9509,-1001484.0479,-737178.2899,302.1912,-18.5901,-18.5988,4059775.3258,0.9978,1.0094
360000,12432.4575,68260.0210,44978.8393,583.7809,-1196202.9171,67931.0647,0.0000,0.0000,263453.5364,-738563.2174,302.5730,-1002016.7538,-737170.1900,302.4621,-99.8648,-99.6960,4053491.6420,0.8646,0.8622
365000,12412.3065,68146.2179,45016.7908,596.9088,-1197306.8381,69498.3514,0.0000,0.0000,263103.1483,-738533.1144,302.1706,-1001636.2626,-737153.8347,302.0358,-19.2835,-16.1474,4055459.5672,1.1665,1.1654
370000,12528.4902,68126.2905,45229.2459,602.7570,-1195837.3500,68985.2026,0.0000,0.0000,263815.8915,-736549.4723,302.9892,-1000365.3637,-735164.9751,302.5542,-40.1787,-39.5625,4059935.4655,1.1206,1.1163
375000,12300.1518,68309.1649,44996.5301,624.7598,-1197979.8664,70046.7777,0.0000,0.0000,262766.0896,-738936.3925,301.7835,-1001702.4821,-737571.7747,302.3014,119.2338,117.3368,4056567.6178,0.8360,0.8260
380000,12400.3767,67977.6324,45062.1324,582.4200,-1196523.2046,69501.3045,0.0000,0.0000,263147.0237,-737852.3149,302.2210,-1000999.3386,-736507.0687,302.3768,-9.3454,-9.2026,4053846.2982,1.2103,1.2334
